,id_bacha,id_interno,name_interno,Unnamed: 3,precio_bacha,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
238,LP017.0010,2053,MEDIA NARANJA MICROFIBRA PAÑO PISO 48X60CM **,21.0,0.0,0.0,576.0,0.0,0.0,0.0,$,,,REJILLAS Y PAÑOS,,EL BACHA,MEDIA NARANJA,,,,,,,MEDIA NARANJA PAÑOS
239,LP017.0004,4270,MEDIA NARANJA MICROFIBRA VIDRIOS 40X40CM **,21.0,291.5,50.0,440.0,0.0,0.0,0.0,$,,,PAÑOS,,EL BACHA,MEDIA NARANJA,,,,,,,MEDIA NARANJA PAÑOS
240,LE044.0032,2069,MORTIMER ESPONJA CUADRICULADA (12XB) **,21.0,21.89,50.0,32.84,0.0,0.0,25.0,$,,,ESPONJAS Y FIBRAS,,EL BACHA,MORTIMER,,,,,,,MORTIMER ESPONJAS
241,LL067.0035,2100,MR MUSCULO ANTIGRASA DOYPACK X 450 CC **,21.0,60.5,45.0,87.73,75.0,0.0,95.0,$,,,DESENGRASANTES,,EL BACHA,MR. MUSCULO,,,,,,,MR. MUSCULO ANTIGRASA
242,LL080.0035,2103,MR MUSCULO BAÑO SUPERECONOMICO X 900 CC,21.0,115.5,45.0,167.48,149.14,0.0,149.14,$,,,LIMPIADORES DE BAÑO E INODORO,,EL BACHA,MR. MUSCULO,,,,,,,MR. MUSCULO BAÑO
243,LL067.0043,4365,MR MUSCULO EXTRA POWER COCINA GATILLO X 500 ML **,21.0,173.8,45.0,252.01,0.0,0.0,0.0,$,,,DESENGRASANTES,,EL BACHA,MR. MUSCULO,,,,,,,MR. MUSCULO ANTIGRASA
244,LL088.0014,2116,MR MUSCULO LIMPIAHORNOS EN FRIO AEROSOL X 400 GR,21.0,196.9,45.0,285.51,0.0,0.0,0.0,$,,,LIMPIADORES ESPECIFICOS,,EL BACHA,MR. MUSCULO,,,,,,,MR. MUSCULO LIMPIAHORNOS
245,LL076.0016,2106,MR MUSCULO MULTIUSO DOYPACK X 450 CC,21.0,60.5,45.0,87.73,62.0,0.0,62.0,$,,,LIMPIADORES ESPECIFICOS,,EL BACHA,MR. MUSCULO,,,,,,,MR. MUSCULO MULTIUSOS
246,LL075.0015,2104,MR MUSCULO MULTIUSOS GATILLO X 500 ML,21.0,0.0,0.0,191.0,0.0,0.0,0.0,$,,,LIMPIADORES ESPECIFICOS,,EL BACHA,MR. MUSCULO,,,,,,,MR. MUSCULO MULTIUSOS
247,LL054.0008,2168,NH3 LIMPIADOR C/AMONIACO X 900 CC **,21.0,0.0,0.0,163.0,0.0,0.0,163.0,$,,,DESENGRASANTES,,EL BACHA,NH3,,,,,,,NH3 LIMPIADOR
248,LE041.0050,4536,NOVICA VARRY 1000 ESCOBILLON PVC BI COLOR (12UXB),21.0,350.9,50.0,526.35,0.0,0.0,0.0,$,,8.0,ESCOBAS Y ESCOBILLONES,,EL BACHA,NOVICA,,,,,,,NOVICA ESCOBILLON PVC
249,LR027.0016,2177,OFF AEROSOL EXTRA DURACION VERDE X 165 CC **,21.0,0.0,0.0,370.0,347.4,0.0,347.4,$,,,INSECTICIDAS Y REPELENTES,,EL BACHA,OFF,,,,,,,OFF AEROSOL
250,LR027.0015,2176,OFF AEROSOL REPELENTE NARANJA X 165 CC **,21.0,0.0,0.0,245.0,0.0,0.0,210.0,$,,,INSECTICIDAS Y REPELENTES,,EL BACHA,OFF,,,,,,,OFF AEROSOL
251,LD032.0026,4467,"PATO PURIFIC BLOQUE ADHESIVO ""FLORAL"" (24UXB) **",21.0,61.6,45.0,89.0,0.0,0.0,0.0,$,,,CANASTAS PARA INODOROS,,EL BACHA,PATO PURIFIC,,,,,,,PATO PURIFIC ADHESIVOS
252,LD022.0023,4364,PATO PURIFIC BLOQUE MOCHILA X 1 UNID (24UXB) **,21.0,132.0,50.0,198.0,0.0,0.0,0.0,$,,,CANASTAS PARA INODOROS,,EL BACHA,PATO PURIFIC,,,,,,,PATO PURIFIC BLOQUE MOCHILA
253,LD032.0027,4323,PATO PURIFIC BLOQUE MOCHILA X 2 UNID **,21.0,0.0,0.0,348.0,0.0,0.0,0.0,$,,,CANASTAS PARA INODOROS,,EL BACHA,PATO PURIFIC,,,,,,,PATO PURIFIC BLOQUE MOCHILA
